type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
tone_discrimination,-0.0516628866179033,-0.0516559844286424,1.93580774112174,0.0266880288051112,0.026688028804264,-0.371851836552678,0.2685260633168713,-0.3718449343583348,0.2685329655010499,0.0529430193044559,run1,apc,full_term,0.0,223.9,55976,english,0.0,not significant
tone_discrimination,-0.0516628866179033,-0.0516559844286424,1.93580774112174,0.0266880288051112,0.026688028804264,-0.371851836552678,0.2685260633168713,-0.3718449343583348,0.2685329655010499,0.0529430193044559,run3,apc,full_term,0.0,223.9,55976,english,0.0,not significant
tone_discrimination,-0.0515886175210562,-0.0515817252541863,1.93302487895482,0.0266880287960009,0.0266880287951561,-0.3717775674011803,0.2686003323590679,-0.3717706751292429,0.2686072246208701,0.0532849788523278,run2,apc,full_term,0.0,223.9,55976,english,0.0,not significant
tone_discrimination,0.0964065225096609,0.0963936425467337,-3.612351240632296,0.0266880366760377,0.0266880366730875,-0.2237824746407308,0.4165955196600526,-0.2237953545859604,0.416582639679428,0.0003061110359736,run1,apc,full_term,652.5,876.4,219101,english,7.5,significant
tone_discrimination,0.1029668621657208,0.1029531057379097,-3.8581670887577433,0.0266880382299363,0.0266880382265709,-0.2172221443060988,0.4231558686375405,-0.2172359007137219,0.4231421121895414,0.0001155299876537,run3,apc,full_term,652.5,876.4,219101,english,7.5,significant
tone_discrimination,0.1096148292777227,0.1096001846779528,-4.107266336604966,0.0266880399089098,0.0266880399050959,-0.2105741872658163,0.4298038458212618,-0.2105888318427072,0.4297892011986129,4.061158798469495e-05,run2,apc,full_term,652.5,876.4,219101,english,7.5,significant
tone_discrimination,0.1001724372768776,0.100159054185725,-3.753460021732739,0.0266880375555394,0.0266880375523542,-0.220016565149413,0.4203614397031682,-0.2200299482214584,0.4203480565929086,0.0001761873903909,run1,apc,full_term,783.0,1006.9,251726,english,9.0,significant
tone_discrimination,0.098863512648428,0.0988503044303053,-3.7044146316244064,0.026688037246029,0.0266880372429265,-0.2213254879211909,0.419052513218047,-0.2213386961207026,0.4190393049813132,0.0002139306868676,run3,apc,full_term,783.0,1006.9,251726,english,9.0,significant
tone_discrimination,0.1139034050771008,0.1138881875213123,-4.26795922030354,0.02668804104773,0.0266880410436118,-0.20628561829792,0.4340924284521217,-0.2063008358290043,0.4340772108716289,2.005516200541834e-05,run2,apc,full_term,783.0,1006.9,251726,english,9.0,significant
tone_discrimination,0.1003997089670153,0.1003862955122435,-3.7619758892327537,0.0266880376096952,0.0266880376064956,-0.2197892937841417,0.4205887117181723,-0.2198027072197197,0.4205752982442067,0.0001703064051225,run1,apc,full_term,913.5,1137.4,284351,english,10.5,significant
tone_discrimination,0.1026660623271189,0.1026523460863271,-3.84689612241782,0.0266880381564512,0.0266880381531054,-0.2175229437038827,0.4228550683581207,-0.2175366599246044,0.4228413520972587,0.0001209578253008,run3,apc,full_term,913.5,1137.4,284351,english,10.5,significant
tone_discrimination,0.1128908507440105,0.112875768466022,-4.23001882160303,0.026688040774908,0.0266880407708626,-0.2072981709944227,0.4330798724824439,-0.2073132532481443,0.4330647901801884,2.3742269725951288e-05,run2,apc,full_term,913.5,1137.4,284351,english,10.5,significant
tone_discrimination,0.1036015091524115,0.1035876679354239,-3.8819473037271823,0.0266880383856853,0.0266880383822783,-0.216587498253705,0.4237905165585283,-0.216601339450255,0.4237766753211029,0.0001048250796948,run1,apc,full_term,1044.0,1267.9,316976,english,12.0,significant
tone_discrimination,0.0994408444008272,0.0994275590508739,-3.726047245453278,0.026688037382044,0.0266880373789051,-0.2207481569847099,0.4196298457863645,-0.2207614423158342,0.4196165604175821,0.0001964293793193,run3,apc,full_term,1044.0,1267.9,316976,english,12.0,significant
tone_discrimination,0.1115983989582676,0.1115834893525283,-4.181590668713083,0.0266880404302098,0.0266880404262565,-0.2085906207124122,0.4317874186289474,-0.2086055302944369,0.4317725089994937,2.939293972848548e-05,run2,apc,full_term,1044.0,1267.9,316976,english,12.0,significant
tone_discrimination,0.105370956015063,0.1053568783990289,-3.9482484564203664,0.0266880388249797,0.0266880388214554,-0.2148180540262652,0.4255599660563913,-0.2148321316211576,0.4255458884192156,7.969860799236774e-05,run1,apc,full_term,1566.0,1789.9,447477,english,18.0,significant
tone_discrimination,0.1023736861501063,0.102360008970928,-3.8359407905764815,0.02668803808523,0.0266880380819033,-0.2178153194536582,0.422562691753871,-0.2178289966128806,0.4225490145547366,0.0001264704977049,run3,apc,full_term,1566.0,1789.9,447477,english,18.0,significant
tone_discrimination,0.1169079771623817,0.116892358194157,-4.38054050025528,0.0266880418716195,0.0266880418672811,-0.2032810511549344,0.4370970054796979,-0.2032966700971344,0.4370813864854484,1.2056665027070706e-05,run2,apc,full_term,1566.0,1789.9,447477,english,18.0,significant
tone_discrimination,0.1019961908402823,0.1019825640946791,-3.821796045850947,0.0266880379935747,0.0266880379902725,-0.2181928142136662,0.422185195894231,-0.2182064409394603,0.4221715691288186,0.0001339180566994,run1,apc,preterm,0.0,43.7,10926,english,0.0,significant
tone_discrimination,0.0052203371603779,0.0052196397205435,-0.1956059707051486,0.0266880256665574,0.0266880256665487,-0.314968593947036,0.3254092682677918,-0.3149692913868185,0.3254085708279055,0.8449257426628065,run3,apc,preterm,0.0,43.7,10926,english,0.0,not significant
tone_discrimination,-0.0018165402627235,-0.0018162975719737,0.068065741828313,0.0266880256381014,0.0266880256381004,-0.3220054711994378,0.3183723906739906,-0.3220052285086816,0.3183726333647342,0.9457357254019672,run2,apc,preterm,0.0,43.7,10926,english,0.0,not significant
tone_discrimination,0.0929492836759563,0.0929368656019849,-3.482808543053473,0.0266880358982928,0.0266880358955504,-0.2272397088089484,0.4131382761608611,-0.2272521268664689,0.4131258580704388,0.0004999883836939,run1,apc,preterm,562.5,606.2,151551,english,7.5,significant
tone_discrimination,0.1100160655550873,0.1100013673499363,-4.122300655099124,0.0266880400136041,0.0266880400097621,-0.2101729516164848,0.4302050827266594,-0.210187649798589,0.4301903844984617,3.805403611343068e-05,run3,apc,preterm,562.5,606.2,151551,english,7.5,significant
tone_discrimination,0.0902728392318411,0.0902607787322778,-3.3825222018755308,0.0266880353156997,0.0266880353131129,-0.229916149758241,0.4104618282219234,-0.2299282102422872,0.4104497677068428,0.000723176796951,run2,apc,preterm,562.5,606.2,151551,english,7.5,significant
tone_discrimination,0.1060158586852074,0.106001694909832,-3.9724129517256497,0.0266880389869373,0.0266880389833697,-0.2141731523276615,0.4262048696980764,-0.2141873160816356,0.4261907059012997,7.204286750921996e-05,run1,apc,preterm,693.0,736.7,184176,english,9.0,significant
tone_discrimination,0.1052663410308963,0.10525227739148,-3.9443285342200265,0.0266880387988004,0.026688038795283,-0.2149226688533891,0.4254553509151819,-0.2149367324717057,0.4254412872546658,8.100499316524813e-05,run3,apc,preterm,693.0,736.7,184176,english,9.0,significant
tone_discrimination,0.0898655991653433,0.0898535930732705,-3.3672629214746523,0.0266880352285459,0.0266880352259825,-0.2303233893019264,0.4100545876326131,-0.2303353953786218,0.4100425815251629,0.0007643089984761,run2,apc,preterm,693.0,736.7,184176,english,9.0,significant
tone_discrimination,0.1044734891099637,0.1044595313959878,-3.9146203822645247,0.026688038601239,0.0266880385977744,-0.2157155195892028,0.4246624978091304,-0.2157294772823957,0.4246485400743714,9.16254722105659e-05,run1,apc,preterm,823.5,867.2,216801,english,10.5,significant
tone_discrimination,0.1022826283235318,0.1022689633097277,-3.8325288549083023,0.0266880380630903,0.0266880380597695,-0.2179063771474227,0.4224716337944864,-0.2179200421413061,0.4224579687607616,0.0001282275128548,run3,apc,preterm,823.5,867.2,216801,english,10.5,significant
