"es","significant","model_type","simulation","chronological_age","Capability"
1.48294566571419,"significant","cpc","baseline",7.5,"Vowel discrimination"
1.4575683609002,"significant","cpc","baseline",9,"Vowel discrimination"
1.41515590075098,"significant","cpc","baseline",10.5,"Vowel discrimination"
1.42042792845241,"significant","cpc","baseline",12,"Vowel discrimination"
1.3017051955975,"significant","cpc","full_term",7.5,"Vowel discrimination"
1.3361799631657,"significant","cpc","full_term",9,"Vowel discrimination"
1.31436803031425,"significant","cpc","full_term",10.5,"Vowel discrimination"
1.28550973633167,"significant","cpc","full_term",12,"Vowel discrimination"
1.3996783516346,"significant","cpc","preterm",7.5,"Vowel discrimination"
1.35104354516472,"significant","cpc","preterm",9,"Vowel discrimination"
1.3635141375672,"significant","cpc","preterm",10.5,"Vowel discrimination"
1.3624972597728,"significant","cpc","preterm",12,"Vowel discrimination"
